country,manufacturing_site,vendor,molecule_test_type,brand,scheduled_delivery_date_y,manufacturing_site_idsum,manufacturing_site_idcount,manufacturing_site_idmean,manufacturing_site_packsum,manufacturing_site_packcount,manufacturing_site_packmean,manufacturing_site_quantitysum,manufacturing_site_quantitycount,manufacturing_site_quantitymean,manufacturing_site_valuesum,manufacturing_site_valuecount,manufacturing_site_valuemean,manufacturing_site_pricesum,manufacturing_site_pricecount,manufacturing_site_pricemean,manufacturing_site_pricesum,manufacturing_site_pricecount,manufacturing_site_pricemean,manufacturing_site_designationsum,manufacturing_site_designationcount,manufacturing_site_designationmean,manufacturing_site_usdsum,manufacturing_site_usdcount,manufacturing_site_usdmean,manufacturing_site_calculatedsum,manufacturing_site_calculatedcount,manufacturing_site_calculatedmean,manufacturing_site_calculatedsum,manufacturing_site_calculatedcount,manufacturing_site_calculatedmean
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Efavirenz,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Uganda,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Côte d'Ivoire,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Côte d'Ivoire,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Guyana,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Uganda,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Guyana,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Abacavir,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
